"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\GrupalTercerParcialAPI\Config\Conexion.php", "PHP", 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\GrupalTercerParcialAPI\Config\config.php", "PHP", 0, 9, 0, 0, 0, 6, 15
"c:\xampp\htdocs\GrupalTercerParcialAPI\Config\database.php", "PHP", 0, 23, 0, 0, 0, 9, 32
"c:\xampp\htdocs\GrupalTercerParcialAPI\Controller\Controlador.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\GrupalTercerParcialAPI\Index.html", "HTML", 170, 0, 0, 0, 9, 22, 201
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\AggCategoria.php", "PHP", 0, 13, 0, 0, 0, 1, 14
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\AgregarCategoria.php", "PHP", 0, 12, 0, 0, 0, 5, 17
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\CategoriasMod.php", "PHP", 0, 17, 0, 0, 0, 0, 17
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\Categorias_EditarEliminar.php", "PHP", 0, 22, 0, 0, 0, 0, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\DetallesProductos.php", "PHP", 0, 279, 0, 0, 14, 74, 367
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\EditarCategoria.php", "PHP", 0, 53, 0, 0, 1, 5, 59
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\EditarProducto.php", "PHP", 0, 190, 0, 0, 18, 47, 255
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\EditarVCategoria.php", "PHP", 0, 15, 0, 0, 0, 2, 17
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\EliminarCategoria.php", "PHP", 0, 35, 0, 0, 0, 11, 46
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\EliminarProducto.php", "PHP", 0, 34, 0, 0, 2, 3, 39
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\ProductosDetalles.php", "PHP", 0, 167, 0, 0, 18, 41, 226
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\Productos_Editar-Eliminar.php", "PHP", 0, 28, 0, 0, 0, 3, 31
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\Reporte1.php", "PHP", 0, 35, 0, 0, 6, 7, 48
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\Reporte2.php", "PHP", 0, 37, 0, 0, 6, 8, 51
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\Reporte3.php", "PHP", 0, 48, 0, 0, 6, 9, 63
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\Reporte4.php", "PHP", 0, 40, 0, 0, 6, 10, 56
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\Reporte5.php", "PHP", 0, 36, 0, 0, 6, 13, 55
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\buscarProductoID.php", "PHP", 0, 43, 0, 0, 0, 7, 50
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\cerrarSesion.php", "PHP", 0, 7, 0, 0, 0, 3, 10
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\checkout.php", "PHP", 0, 312, 0, 0, 12, 65, 389
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\controlesCategoria.php", "PHP", 0, 21, 0, 0, 2, 0, 23
"c:\xampp\htdocs\GrupalTercerParcialAPI\Model\controlesProducto.php", "PHP", 0, 26, 0, 0, 0, 2, 28
